id;castle_id;room_number;enemy_id;item_id;item_type;has_hint;hint_text;search_chance;description
1;1;1;1;2;usable;1;На посту у входа — брошенный клочок бумаги. 'Гость из западных земель приходил в сопровождении охраны. Хиросэ принял его без лишних свидетелей.' Кто этот гость?;22;Прихожая замка Хиросэ. Запах сырости и старого дерева. Тусклые факелы освещают длинный коридор.
2;1;2;2;4;usable;1;В ящике стола стражи — засаленная записная книжка. 'Ночью привезли свёрток. Хиросэ лично проводил гостя в хранилище. Больше никто не видел ни гостя, ни свёртка.';20;Комната стражи. На стенах развешано трофейное оружие — видно, хозяева замка ценят военные трофеи.
3;1;3;0;1;usable;1;Среди пыльных свитков ты замечаешь запись: 'Гость из западных земель передал хозяину нечто ценное. Сам даймё спрятал это в своих покоях.' Возможно, речь о твоей катане.;25;Библиотека. Полки уставлены пыльными свитками. Тишина здесь почти осязаема.
4;1;4;4;5;usable;0;;45;Тронный зал Хиросэ. Роскошный и холодный, как сам хозяин. Здесь всё решается силой.
5;2;1;8;1;usable;1;Стражники говорят вполголоса. Один роняет: 'Слышал, Мидзуки сам встречался с Иноуэ. Говорят, тот ищет что-то ценное из рода Танака...';22;Входная зала замка Мидзуки. Слышны приглушённые звуки тренировок где-то в глубине.
6;2;2;6;2;usable;0;;40;Тренировочный зал. Манекены для отработки ударов. Запах пота и стали.
7;2;3;9;3;usable;1;Поверженный ассасин перед смертью прошептал: 'Рёта... приходил сюда лично. Хозяин долго разговаривал с ним наедине. Это было на прошлой неделе...' Рёта. Это имя всплывает снова.;25;Сад камней. Странное место для самурая — но здесь любит бывать сам Мидзуки.
8;2;4;7;6;usable;0;;45;Покои Мидзуки Сора. Роскошь и скрытая угроза в каждой детали интерьера.
9;3;1;11;4;usable;1;На стене у ворот — надпись углём: 'Иноуэ всё знает. Кто говорит лишнего — исчезает.' Рёта Иноуэ. Снова это имя.;20;Внешние ворота замка Ямамото. Многочисленная и дисциплинированная охрана.
10;3;2;2;4;usable;0;;38;Оружейная комната. Стены увешаны редким оружием — Ямамото явно ценит мастерство кузнецов.
11;3;3;12;7;usable;0;;42;Казармы ветеранов. Запах пота и стали. Люди здесь прошли огонь и воду.
12;3;4;0;8;usable;1;На столе Ямамото лежит незапечатанное письмо. 'Уважаемый Кэй, благодарю за сохранность доверенного предмета. Скоро заберу лично. Твой — Рёта Иноуэ.' Итаро сжимает кулаки. Всё стало ясно.;28;Личный кабинет Ямамото. Карты сражений и стопки бумаг на массивном столе.
13;3;5;10;3;usable;0;;50;Зал поединков. Пол выщерблен от тысяч ударов. Здесь Ямамото Кэй встречает достойных противников.
